TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,2918407,29,BA,Presente,Presente,Presente,Presente,419.3,530.8,510.3,538.8,620.0,B
19 anos,F,Parda,Brasileiro(a),Não informado,Pública,2919801,29,BA,Presente,Faltou,Faltou,Presente,362.2,,,585.5,,B
25 anos,M,Amarela,Brasileiro(a),2015,Não Respondeu,1501402,15,PA,Presente,Presente,Presente,Presente,517.9,647.7,557.8,534.4,680.0,C
Entre 31 e 35 anos,M,Parda,Brasileiro(a),2008,Não Respondeu,3304557,33,RJ,Presente,Presente,Presente,Presente,436.7,549.7,471.1,451.5,420.0,F
Entre 26 e 30 anos,M,Preta,Brasileiro(a),Não informado,Não Respondeu,3169307,31,MG,Presente,Presente,Presente,Presente,436.8,357.5,398.7,460.1,660.0,B
Entre 36 e 40 anos,F,Branca,Brasileiro(a),Antes de 2007,Não Respondeu,1506807,15,PA,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,F,Parda,Brasileiro(a),2019,Não Respondeu,2800308,28,SE,Presente,Presente,Presente,Presente,589.1,594.0,539.8,578.0,700.0,C
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,3503307,35,SP,Presente,Presente,Presente,Presente,659.5,723.6,694.5,800.3,920.0,H
22 anos,F,Branca,Brasileiro(a),2017,Não Respondeu,3169901,31,MG,Presente,Presente,Presente,Presente,538.6,563.7,524.6,684.7,940.0,J
21 anos,F,Preta,Brasileiro(a)Naturalizado(a),Não informado,Não Respondeu,5220454,52,GO,Faltou,Presente,Presente,Faltou,,411.5,422.5,,360.0,C
17 anos,M,Branca,Brasileiro(a),Não informado,Pública,4109609,41,PR,Faltou,Faltou,Faltou,Faltou,,,,,,I
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,3529005,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,B
Entre 31 e 35 anos,F,Branca,Brasileiro(a),2015,Não Respondeu,2111300,21,MA,Faltou,Presente,Presente,Faltou,,531.8,487.2,,480.0,B
